province,uezd
Orlov,Karachevskii
Orlov,Kromskii
Orlov,Livenskii
Orlov,Maloarkhangel'skii
Orlov,Mtsenskii
Orlov,Sevskii
Orlov,Trubchevskii
Penzen,Penzenskii
Penzen,Gorodishchenskii
Penzen,Insanskii
Penzen,Kerenskii
Penzen,Krasnoslobodskii
Penzen,Mokshanskii
Penzen,Narovchatskii
Penzen,Nizhelomovskii
Penzen,Saranskii
Penzen,Chembarskii
Perm,Permskii
Perm,Ekaterinburgskii
Perm,Irbitskii
Perm,Kamyshlovskii
Perm,Krasnoufimskii
Perm,Kungurskii
Perm,Osinskii
Perm,Okhanskii
Perm,Solikamskii
Perm,Cherdynskii
Podol'sk,Kamenets-Podol'skii
Podol'sk,Baltskii
Podol'sk,Bratslavskii
Podol'sk,Vinnitskii
Podol'sk,Gaisinskii
Podol'sk,Letichevskii
Podol'sk,Litinskii
Podol'sk,Mogilevskii
Podol'sk,Ol'gopol'skii
Podol'sk,Proskurovskii
Podol'sk,Novo-Ushchitskii
Podol'sk,Iampol'skii
Poltava,Poltavskii
Poltava,Gadiachskii
Poltava,Zen'kovskii
Poltava,Zolotonoshskii
Poltava,Kobeliakskii
Poltava,Konstantinogradskii
Poltava,Kremenchugskii
Poltava,Lokhvitskii
Poltava,Lubenskii
Poltava,Mirgorodskii
Poltava,Pereiaslavskii
Poltava,Piriatinskii
Poltava,Prilukskii
Poltava,Romenskii
Poltava,Khorol'skii
Pskov,Pskovskii
Pskov,Velikolutskii
Pskov,Novorzhevskii
Pskov,Opochetskii
Pskov,Ostrovskii
Pskov,Porkhovskii
Pskov,Toropetskii
Pskov,Kholmskii
Riazan,Riazanskii
Riazan,Dankovskii
Riazan,Egor'evskii
Riazan,Zaraiskii
Riazan,Kasimovskii
Riazan,Mikhailovskii
Riazan,Pronskii
Riazan,Ranenburgskii
Riazan,Riazhskii
Riazan,Sapozhkovskii
Riazan,Skopinskii
Riazan,Spasskii
Samara,Samarskii
Samara,Bugul'minskii
